
"* 통계표ID : DT_1IN1002"
"* 통계표명 : 인구, 가구 및 주택 - 읍면동"
"* 수록기간 : ( 5년 : 2010 ~ 2010 )"
"* 출처 : 통계청 조사관리국 인구총조사과"
"* 파일생성일자 : 2013/08/29 16:50:19"

[주석 정보]
"통계표","주1) 가구형태"
,"
       - 일반가구(가구구분 항목 ①~④, 일반가구 내 외국인도 포함)"
,"
         ? 가족으로 이루어진 가구"
,"
         ? 가족과 5인 이하의 남남이 함께 사는 가구"
,"
         ? 1인가구"
,"
         ? 가족이 아닌 남남끼리 함께 사는 5인 이하의 가구"
,"
       - 집단가구"
,"
         ? 비혈연 6인 이상 가구 : 가족이 아닌 남남끼리 함께 사는 6인 이상의 가구(가구구분 항목 ⑤)"
,"
         ? 집단시설가구 : 기숙사나 노인요양시설?보육원 등 사회시설에 집단으로 살고 있는 가구"
,"
       - 외국인가구 : 외국인으로만 구성된 가구"
,"
 주2) 주택이외의 거처에는 오피스텔, 호텔·여관 등 숙박업소의 객실, 기숙사 및 특수 사회시설, 판잣집·비닐하우스 등이 있음"
,"
 주3) 파주시 진동면(3120021)의 (인구/가구/주택)은 파주시 군내면(3120038)에 포함"

[분류/항목 정보]
분류코드,분류/항목명,분류값,분류값명,단위,가중치
"'A","행정구역별(읍면동)","'1120066","사당4동",,
"'A","행정구역별(읍면동)","'1120067","사당5동",,
"'A","행정구역별(읍면동)","'1120068","대방동",,
"'A","행정구역별(읍면동)","'1120069","신대방1동",,
"'A","행정구역별(읍면동)","'1120070","신대방2동",,
"'A","행정구역별(읍면동)","'1120071","흑석동",,
"'A","행정구역별(읍면동)","'1120072","노량진1동",,
"'A","행정구역별(읍면동)","'1120073","사당2동",,
"'A","행정구역별(읍면동)","'11210","관악구",,
"'A","행정구역별(읍면동)","'1121052","보라매동",,
"'A","행정구역별(읍면동)","'1121054","청림동",,
"'A","행정구역별(읍면동)","'1121057","행운동",,
"'A","행정구역별(읍면동)","'1121058","낙성대동",,
"'A","행정구역별(읍면동)","'1121061","중앙동",,
"'A","행정구역별(읍면동)","'1121062","인헌동",,
"'A","행정구역별(읍면동)","'1121063","남현동",,
"'A","행정구역별(읍면동)","'1121064","서원동",,
"'A","행정구역별(읍면동)","'1121065","신원동",,
"'A","행정구역별(읍면동)","'1121066","서림동",,
"'A","행정구역별(읍면동)","'1121068","신사동",,
"'A","행정구역별(읍면동)","'1121069","신림동",,
"'A","행정구역별(읍면동)","'1121071","난향동",,
"'A","행정구역별(읍면동)","'1121072","조원동",,
